Data TLB contains 2 sets.
Each set contains 1 entries.
Number of bits used for the index is 1.

Number of virtual pages is 8.
Number of physical pages is 8.
Each page contains 512 bytes.
Number of bits used for the page table index is 3.
Number of bits used for the page offset is 9.

D-cache contains 4 sets.
Each set contains 1 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 2.
Number of bits used for the offset is 4.

L2-cache contains 16 sets.
Each set contains 4 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 4.
Number of bits used for the offset is 4.

The addresses read in are virtual addresses.

Virtual  Virt.  Page TLB    TLB TLB  PT   Phys        DC  DC          L2  L2  
Address  Page # Off  Tag    Ind Res. Res. Pg # DC Tag Ind Res. L2 Tag Ind Res.
-------- ------ ---- ------ --- ---- ---- ---- ------ --- ---- ------ --- ----
000005c6      2  1c6      1   0 hit          7     3f   0 miss      f   c miss
00000ca2      6   a2      3   0 miss hit     5     2a   2 miss      a   a miss
00000765      3  165      1   1 hit          1      d   2 miss      3   6 hit 
00000281      1   81      0   1 miss hit     6     32   0 miss      c   8 miss
00000660      3   60      1   1 miss hit     1      9   2 miss      2   6 miss
00000bff      5  1ff      2   1 miss hit     0      7   3 miss      1   f miss
000007fd      3  1fd      1   1 miss hit     1      f   3 miss      3   f miss
0000013a      0  13a      0   0 miss hit     3     1c   3 miss      7   3 miss
00000993      4  193      2   0 miss hit     4     26   1 miss      9   9 miss
000009fd      4  1fd      2   0 hit          4     27   3 miss      9   f miss
00000351      1  151      0   1 miss hit     6     35   1 miss      d   5 hit 
00000ad0      5   d0      2   1 miss hit     0      3   1 miss      0   d miss
000008f7      4   f7      2   0 hit          4     23   3 miss      8   f miss
00000711      3  111      1   1 miss hit     1      c   1 miss      3   1 hit 
00000569      2  169      1   0 miss hit     7     3d   2 miss      f   6 miss
00000ce5      6   e5      3   0 miss hit     5     2b   2 miss      a   e miss
00000b1d      5  11d      2   1 miss hit     0      4   1 miss      1   1 hit 
00000ae4      5   e4      2   1 hit          0      3   2 miss      0   e hit 
00000bf2      5  1f2      2   1 hit          0      7   3 miss      1   f hit 
000008b4      4   b4      2   0 miss hit     4     22   3 miss      8   b miss
00000c58      6   58      3   0 miss hit     5     29   1 miss      a   5 hit 
00000073      0   73      0   0 miss hit     3     19   3 miss      6   7 miss
00000fdc      7  1dc      3   1 miss hit     2     17   1 miss      5   d miss
00000015      0   15      0   0 hit          3     18   1 miss      6   1 miss
000004d3      2   d3      1   0 miss hit     7     3b   1 miss      e   d miss
000001e1      0  1e1      0   0 miss hit     3     1f   2 miss      7   e hit 
00000cda      6   da      3   0 miss hit     5     2b   1 miss      a   d miss
00000de6      6  1e6      3   0 hit          5     2f   2 miss      b   e miss
0000073c      3  13c      1   1 miss hit     1      c   3 miss      3   3 hit 
000007e1      3  1e1      1   1 hit          1      f   2 miss      3   e miss
00000a29      5   29      2   1 miss hit     0      0   2 miss      0   2 hit 
0000032f      1  12f      0   1 miss hit     6     34   2 miss      d   2 miss
000008f3      4   f3      2   0 miss hit     4     23   3 miss      8   f hit 
00000bda      5  1da      2   1 miss hit     0      7   1 miss      1   d miss
00000299      1   99      0   1 miss hit     6     32   1 miss      c   9 hit 
00000b54      5  154      2   1 miss hit     0      5   1 miss      1   5 miss
00000fb6      7  1b6      3   1 miss hit     2     16   3 miss      5   b miss
0000034f      1  14f      0   1 miss hit     6     35   0 miss      d   4 miss
0000025d      1   5d      0   1 hit          6     31   1 miss      c   5 miss
0000010b      0  10b      0   0 miss hit     3     1c   0 miss      7   0 miss
000007f1      3  1f1      1   1 miss hit     1      f   3 miss      3   f hit 
00000b64      5  164      2   1 miss hit     0      5   2 miss      1   6 miss
00000e76      7   76      3   1 miss hit     2     11   3 miss      4   7 miss
00000df2      6  1f2      3   0 miss hit     5     2f   3 miss      b   f miss
00000704      3  104      1   1 miss hit     1      c   0 miss      3   0 miss
00000d62      6  162      3   0 hit          5     2d   2 miss      b   6 miss
00000e7b      7   7b      3   1 miss hit     2     11   3 miss      4   7 hit 
00000fdc      7  1dc      3   1 hit          2     17   1 miss      5   d hit 
00000cf9      6   f9      3   0 hit          5     2b   3 miss      a   f miss
00000547      2  147      1   0 miss hit     7     3d   0 miss      f   4 miss
0000063a      3   3a      1   1 miss hit     1      8   3 miss      2   3 hit 
00000772      3  172      1   1 hit          1      d   3 miss      3   7 miss
00000046      0   46      0   0 miss hit     3     19   0 miss      6   4 miss
000001b1      0  1b1      0   0 hit          3     1e   3 miss      7   b miss
0000018b      0  18b      0   0 hit          3     1e   0 miss      7   8 hit 
00000ac8      5   c8      2   1 miss hit     0      3   0 miss      0   c miss
0000064c      3   4c      1   1 miss hit     1      9   0 miss      2   4 hit 
00000517      2  117      1   0 miss hit     7     3c   1 miss      f   1 miss
0000005a      0   5a      0   0 miss hit     3     19   1 miss      6   5 miss
00000583      2  183      1   0 miss hit     7     3e   0 miss      f   8 miss
00000378      1  178      0   1 miss hit     6     35   3 miss      d   7 miss
00000560      2  160      1   0 hit          7     3d   2 miss      f   6 hit 
00000393      1  193      0   1 hit          6     36   1 miss      d   9 miss
000008ff      4   ff      2   0 miss hit     4     23   3 miss      8   f hit 
00000ac7      5   c7      2   1 miss hit     0      3   0 miss      0   c hit 
000002df      1   df      0   1 miss hit     6     33   1 miss      c   d miss
00000ea5      7   a5      3   1 miss hit     2     12   2 miss      4   a miss
00000fd3      7  1d3      3   1 hit          2     17   1 miss      5   d hit 
00000b48      5  148      2   1 miss hit     0      5   0 miss      1   4 miss
00000215      1   15      0   1 miss hit     6     30   1 miss      c   1 miss
00000f8c      7  18c      3   1 miss hit     2     16   0 miss      5   8 miss
00000570      2  170      1   0 miss hit     7     3d   3 miss      f   7 miss
000009d9      4  1d9      2   0 miss hit     4     27   1 miss      9   d miss
0000063a      3   3a      1   1 miss hit     1      8   3 miss      2   3 hit 
00000825      4   25      2   0 hit          4     20   2 miss      8   2 miss
00000537      2  137      1   0 miss hit     7     3c   3 miss      f   3 miss
0000083c      4   3c      2   0 miss hit     4     20   3 miss      8   3 miss
00000173      0  173      0   0 miss hit     3     1d   3 miss      7   7 miss
0000089a      4   9a      2   0 miss hit     4     22   1 miss      8   9 miss
00000419      2   19      1   0 miss hit     7     38   1 miss      e   1 miss
000007f4      3  1f4      1   1 hit          1      f   3 miss      3   f hit 
00000f47      7  147      3   1 miss hit     2     15   0 miss      5   4 miss
00000809      4    9      2   0 miss hit     4     20   0 miss      8   0 miss
00000fd1      7  1d1      3   1 hit          2     17   1 miss      5   d hit 
00000e7e      7   7e      3   1 hit          2     11   3 miss      4   7 miss
00000e8d      7   8d      3   1 hit          2     12   0 miss      4   8 miss
000000a3      0   a3      0   0 miss hit     3     1a   2 miss      6   a miss
00000e4d      7   4d      3   1 hit          2     11   0 miss      4   4 miss
000002a8      1   a8      0   1 miss hit     6     32   2 miss      c   a miss
000007c8      3  1c8      1   1 miss hit     1      f   0 miss      3   c miss
00000742      3  142      1   1 hit          1      d   0 miss      3   4 miss
00000d52      6  152      3   0 miss hit     5     2d   1 miss      b   5 miss
00000da6      6  1a6      3   0 hit          5     2e   2 miss      b   a miss
00000d36      6  136      3   0 hit          5     2c   3 miss      b   3 miss
00000359      1  159      0   1 miss hit     6     35   1 miss      d   5 miss
000009f6      4  1f6      2   0 miss hit     4     27   3 miss      9   f miss
000005b8      2  1b8      1   0 miss hit     7     3e   3 miss      f   b miss
00000f86      7  186      3   1 miss hit     2     16   0 miss      5   8 hit 
0000020d      1    d      0   1 miss hit     6     30   0 miss      c   0 miss
0000058f      2  18f      1   0 hit          7     3e   0 miss      f   8 hit 
00000e5a      7   5a      3   1 miss hit     2     11   1 miss      4   5 miss
00000cfd      6   fd      3   0 miss hit     5     2b   3 miss      a   f hit 
00000a83      5   83      2   1 miss hit     0      2   0 miss      0   8 miss
00000e2e      7   2e      3   1 miss hit     2     10   2 miss      4   2 miss
00000778      3  178      1   1 miss hit     1      d   3 miss      3   7 miss
000001c1      0  1c1      0   0 miss hit     3     1f   0 miss      7   c miss
00000c24      6   24      3   0 miss hit     5     28   2 miss      a   2 miss
0000010f      0  10f      0   0 miss hit     3     1c   0 miss      7   0 hit 
000003de      1  1de      0   1 miss hit     6     37   1 miss      d   d miss
00000c44      6   44      3   0 miss hit     5     29   0 miss      a   4 miss
00000758      3  158      1   1 miss hit     1      d   1 miss      3   5 miss
00000c2d      6   2d      3   0 hit          5     28   2 hit                 
00000c6c      6   6c      3   0 hit          5     29   2 miss      a   6 miss
00000a0d      5    d      2   1 miss hit     0      0   0 miss      0   0 miss
00000422      2   22      1   0 miss hit     7     38   2 miss      e   2 miss
000006d9      3   d9      1   1 miss hit     1      b   1 miss      2   d miss
00000e35      7   35      3   1 miss hit     2     10   3 miss      4   3 miss
000006af      3   af      1   1 miss hit     1      a   2 miss      2   a miss
00000e04      7    4      3   1 miss hit     2     10   0 miss      4   0 miss
00000aa3      5   a3      2   1 miss hit     0      2   2 miss      0   a miss
00000418      2   18      1   0 hit          7     38   1 miss      e   1 hit 
00000282      1   82      0   1 miss hit     6     32   0 miss      c   8 miss
00000f28      7  128      3   1 miss hit     2     14   2 miss      5   2 miss
0000000f      0    f      0   0 miss hit     3     18   0 miss      6   0 miss
00000033      0   33      0   0 hit          3     18   3 miss      6   3 miss
0000055f      2  15f      1   0 miss hit     7     3d   1 miss      f   5 miss
00000e8a      7   8a      3   1 hit          2     12   0 miss      4   8 miss
000007e0      3  1e0      1   1 miss hit     1      f   2 miss      3   e hit 
00000032      0   32      0   0 miss hit     3     18   3 hit                 
000001db      0  1db      0   0 hit          3     1f   1 miss      7   d miss
000007ab      3  1ab      1   1 hit          1      e   2 miss      3   a miss
00000ce4      6   e4      3   0 miss hit     5     2b   2 miss      a   e miss
00000edc      7   dc      3   1 miss hit     2     13   1 miss      4   d miss
000003ac      1  1ac      0   1 miss hit     6     36   2 miss      d   a miss
00000267      1   67      0   1 hit          6     31   2 miss      c   6 miss
00000d05      6  105      3   0 hit          5     2c   0 miss      b   0 miss
0000096a      4  16a      2   0 miss hit     4     25   2 miss      9   6 miss
00000cce      6   ce      3   0 miss hit     5     2b   0 miss      a   c miss
00000e42      7   42      3   1 miss hit     2     11   0 miss      4   4 hit 
00000985      4  185      2   0 miss hit     4     26   0 miss      9   8 miss
00000f45      7  145      3   1 hit          2     15   0 miss      5   4 hit 
0000074e      3  14e      1   1 miss hit     1      d   0 miss      3   4 hit 
0000015c      0  15c      0   0 miss hit     3     1d   1 miss      7   5 miss
00000302      1  102      0   1 miss hit     6     34   0 miss      d   0 miss
00000f8f      7  18f      3   1 miss hit     2     16   0 miss      5   8 miss
00000dda      6  1da      3   0 miss hit     5     2f   1 miss      b   d miss
00000c5c      6   5c      3   0 hit          5     29   1 miss      a   5 miss
00000c72      6   72      3   0 hit          5     29   3 miss      a   7 miss
000008de      4   de      2   0 miss hit     4     23   1 miss      8   d miss
00000ff9      7  1f9      3   1 hit          2     17   3 miss      5   f miss
00000df0      6  1f0      3   0 miss hit     5     2f   3 miss      b   f miss
0000095d      4  15d      2   0 miss hit     4     25   1 miss      9   5 miss
00000a7f      5   7f      2   1 miss hit     0      1   3 miss      0   7 miss
00000d34      6  134      3   0 miss hit     5     2c   3 miss      b   3 hit 
00000d33      6  133      3   0 hit          5     2c   3 hit                 
0000084b      4   4b      2   0 miss hit     4     21   0 miss      8   4 miss
00000699      3   99      1   1 miss hit     1      a   1 miss      2   9 miss
000004aa      2   aa      1   0 miss hit     7     3a   2 miss      e   a miss
0000035f      1  15f      0   1 miss hit     6     35   1 miss      d   5 miss
00000a52      5   52      2   1 miss hit     0      1   1 miss      0   5 miss
00000090      0   90      0   0 miss hit     3     1a   1 miss      6   9 miss
0000075a      3  15a      1   1 miss hit     1      d   1 miss      3   5 miss
00000d38      6  138      3   0 miss hit     5     2c   3 hit                 
00000807      4    7      2   0 miss hit     4     20   0 miss      8   0 miss
00000df3      6  1f3      3   0 miss hit     5     2f   3 miss      b   f hit 
00000575      2  175      1   0 miss hit     7     3d   3 miss      f   7 miss
00000ca8      6   a8      3   0 miss hit     5     2a   2 miss      a   a miss
00000b3c      5  13c      2   1 miss hit     0      4   3 miss      1   3 miss
00000614      3   14      1   1 miss hit     1      8   1 miss      2   1 miss
000008cd      4   cd      2   0 miss hit     4     23   0 miss      8   c miss
00000234      1   34      0   1 miss hit     6     30   3 miss      c   3 miss
00000707      3  107      1   1 miss hit     1      c   0 miss      3   0 miss
00000c3d      6   3d      3   0 miss hit     5     28   3 miss      a   3 miss
000007b2      3  1b2      1   1 hit          1      e   3 miss      3   b miss
0000000c      0    c      0   0 miss hit     3     18   0 miss      6   0 miss
00000934      4  134      2   0 miss hit     4     24   3 miss      9   3 miss
00000e8b      7   8b      3   1 miss hit     2     12   0 miss      4   8 hit 
0000084b      4   4b      2   0 hit          4     21   0 miss      8   4 hit 
00000ef4      7   f4      3   1 hit          2     13   3 miss      4   f miss
00000149      0  149      0   0 miss hit     3     1d   0 miss      7   4 miss
00000b84      5  184      2   1 miss hit     0      6   0 miss      1   8 miss
00000406      2    6      1   0 miss hit     7     38   0 miss      e   0 miss
000002dd      1   dd      0   1 miss hit     6     33   1 miss      c   d miss
00000b15      5  115      2   1 miss hit     0      4   1 miss      1   1 miss
000000ce      0   ce      0   0 miss hit     3     1b   0 miss      6   c miss
000009ed      4  1ed      2   0 miss hit     4     27   2 miss      9   e miss
00000ff2      7  1f2      3   1 miss hit     2     17   3 miss      5   f hit 
00000986      4  186      2   0 hit          4     26   0 miss      9   8 hit 
000002b7      1   b7      0   1 miss hit     6     32   3 miss      c   b miss
00000c2b      6   2b      3   0 miss hit     5     28   2 miss      a   2 hit 
000005fd      2  1fd      1   0 miss hit     7     3f   3 miss      f   f miss
00000260      1   60      0   1 hit          6     31   2 miss      c   6 hit 
00000f1c      7  11c      3   1 miss hit     2     14   1 miss      5   1 miss
00000939      4  139      2   0 miss hit     4     24   3 miss      9   3 hit 
00000985      4  185      2   0 hit          4     26   0 hit                 
00000584      2  184      1   0 miss hit     7     3e   0 miss      f   8 miss
000006de      3   de      1   1 miss hit     1      b   1 miss      2   d miss
00000571      2  171      1   0 hit          7     3d   3 miss      f   7 hit 
00000d76      6  176      3   0 miss hit     5     2d   3 miss      b   7 miss
00000aee      5   ee      2   1 miss hit     0      3   2 miss      0   e miss
0000016f      0  16f      0   0 miss hit     3     1d   2 miss      7   6 miss
00000712      3  112      1   1 miss hit     1      c   1 miss      3   1 miss
00000f18      7  118      3   1 miss hit     2     14   1 miss      5   1 hit 
00000281      1   81      0   1 miss hit     6     32   0 miss      c   8 miss
00000769      3  169      1   1 miss hit     1      d   2 miss      3   6 miss
000004d4      2   d4      1   0 miss hit     7     3b   1 miss      e   d miss
000008ec      4   ec      2   0 miss hit     4     23   2 miss      8   e miss
0000064d      3   4d      1   1 hit          1      9   0 miss      2   4 miss
00000bac      5  1ac      2   1 miss hit     0      6   2 miss      1   a miss
00000caa      6   aa      3   0 miss hit     5     2a   2 miss      a   a hit 
000005f4      2  1f4      1   0 miss hit     7     3f   3 miss      f   f hit 
000006d8      3   d8      1   1 miss hit     1      b   1 miss      2   d hit 
00000265      1   65      0   1 miss hit     6     31   2 miss      c   6 hit 
000005c9      2  1c9      1   0 hit          7     3f   0 miss      f   c miss
000007d9      3  1d9      1   1 miss hit     1      f   1 miss      3   d miss
0000049a      2   9a      1   0 hit          7     3a   1 miss      e   9 miss
0000036e      1  16e      0   1 miss hit     6     35   2 miss      d   6 miss
00000b65      5  165      2   1 miss hit     0      5   2 miss      1   6 miss
00000ce2      6   e2      3   0 miss hit     5     2b   2 miss      a   e hit 
00000b70      5  170      2   1 hit          0      5   3 miss      1   7 miss
00000065      0   65      0   0 miss hit     3     19   2 miss      6   6 miss
00000e3a      7   3a      3   1 miss hit     2     10   3 miss      4   3 miss
00000ecb      7   cb      3   1 hit          2     13   0 miss      4   c miss
0000032a      1  12a      0   1 miss hit     6     34   2 miss      d   2 miss
000000e8      0   e8      0   0 hit          3     1b   2 miss      6   e miss
00000517      2  117      1   0 miss hit     7     3c   1 miss      f   1 miss
0000024b      1   4b      0   1 hit          6     31   0 miss      c   4 miss
00000c87      6   87      3   0 miss hit     5     2a   0 miss      a   8 miss
000005ef      2  1ef      1   0 miss hit     7     3f   2 miss      f   e miss
00000183      0  183      0   0 miss hit     3     1e   0 miss      7   8 miss
000005c5      2  1c5      1   0 miss hit     7     3f   0 miss      f   c hit 
00000901      4  101      2   0 miss hit     4     24   0 miss      9   0 miss
0000096a      4  16a      2   0 hit          4     25   2 miss      9   6 miss
00000638      3   38      1   1 miss hit     1      8   3 miss      2   3 miss
00000d01      6  101      3   0 miss hit     5     2c   0 miss      b   0 miss
00000745      3  145      1   1 hit          1      d   0 miss      3   4 miss
00000ca0      6   a0      3   0 hit          5     2a   2 miss      a   a hit 
0000015f      0  15f      0   0 miss hit     3     1d   1 miss      7   5 miss
000007bf      3  1bf      1   1 hit          1      e   3 miss      3   b hit 
00000e80      7   80      3   1 miss hit     2     12   0 miss      4   8 miss
00000327      1  127      0   1 miss hit     6     34   2 miss      d   2 hit 
00000194      0  194      0   0 hit          3     1e   1 miss      7   9 miss
00000046      0   46      0   0 hit          3     19   0 miss      6   4 miss
000000d4      0   d4      0   0 hit          3     1b   1 miss      6   d miss
00000374      1  174      0   1 hit          6     35   3 miss      d   7 miss
00000542      2  142      1   0 miss hit     7     3d   0 miss      f   4 miss
00000720      3  120      1   1 miss hit     1      c   2 miss      3   2 miss
00000c1a      6   1a      3   0 miss hit     5     28   1 miss      a   1 miss
00000156      0  156      0   0 miss hit     3     1d   1 miss      7   5 hit 
000004c4      2   c4      1   0 miss hit     7     3b   0 miss      e   c miss
00000859      4   59      2   0 miss hit     4     21   1 miss      8   5 miss
00000cf9      6   f9      3   0 miss hit     5     2b   3 miss      a   f miss
0000039d      1  19d      0   1 miss hit     6     36   1 miss      d   9 miss
00000bcc      5  1cc      2   1 miss hit     0      7   0 miss      1   c miss
000002c2      1   c2      0   1 miss hit     6     33   0 miss      c   c miss
00000093      0   93      0   0 miss hit     3     1a   1 miss      6   9 hit 
00000d2b      6  12b      3   0 miss hit     5     2c   2 miss      b   2 miss
0000029c      1   9c      0   1 hit          6     32   1 miss      c   9 miss
00000bd3      5  1d3      2   1 miss hit     0      7   1 miss      1   d miss
00000832      4   32      2   0 miss hit     4     20   3 miss      8   3 miss
00000dce      6  1ce      3   0 miss hit     5     2f   0 miss      b   c miss
000009e3      4  1e3      2   0 miss hit     4     27   2 miss      9   e miss
000001db      0  1db      0   0 miss hit     3     1f   1 miss      7   d miss
00000498      2   98      1   0 miss hit     7     3a   1 miss      e   9 miss
00000cad      6   ad      3   0 miss hit     5     2a   2 miss      a   a hit 
00000185      0  185      0   0 miss hit     3     1e   0 miss      7   8 hit 
0000003a      0   3a      0   0 hit          3     18   3 miss      6   3 miss
00000a46      5   46      2   1 hit          0      1   0 miss      0   4 miss
00000486      2   86      1   0 miss hit     7     3a   0 miss      e   8 miss
00000a40      5   40      2   1 hit          0      1   0 miss      0   4 hit 
00000597      2  197      1   0 hit          7     3e   1 miss      f   9 miss
0000073d      3  13d      1   1 miss hit     1      c   3 miss      3   3 miss
00000664      3   64      1   1 hit          1      9   2 miss      2   6 miss
000001d8      0  1d8      0   0 miss hit     3     1f   1 miss      7   d hit 
00000e62      7   62      3   1 miss hit     2     11   2 miss      4   6 miss
00000dae      6  1ae      3   0 miss hit     5     2e   2 miss      b   a miss
00000c18      6   18      3   0 hit          5     28   1 miss      a   1 hit 
00000eec      7   ec      3   1 hit          2     13   2 miss      4   e miss
00000f36      7  136      3   1 hit          2     14   3 miss      5   3 miss
000004da      2   da      1   0 miss hit     7     3b   1 miss      e   d miss
00000226      1   26      0   1 miss hit     6     30   2 miss      c   2 miss
00000014      0   14      0   0 miss hit     3     18   1 miss      6   1 miss
000002b0      1   b0      0   1 hit          6     32   3 miss      c   b hit 
00000abd      5   bd      2   1 miss hit     0      2   3 miss      0   b miss
00000ada      5   da      2   1 hit          0      3   1 miss      0   d miss
00000291      1   91      0   1 miss hit     6     32   1 miss      c   9 hit 
000006d3      3   d3      1   1 miss hit     1      b   1 miss      2   d miss
00000675      3   75      1   1 hit          1      9   3 miss      2   7 miss
000002d8      1   d8      0   1 miss hit     6     33   1 miss      c   d miss
00000a86      5   86      2   1 miss hit     0      2   0 miss      0   8 miss
000006b5      3   b5      1   1 miss hit     1      a   3 miss      2   b miss
00000807      4    7      2   0 miss hit     4     20   0 miss      8   0 miss
00000a75      5   75      2   1 miss hit     0      1   3 miss      0   7 miss
0000085d      4   5d      2   0 hit          4     21   1 miss      8   5 hit 
0000053b      2  13b      1   0 miss hit     7     3c   3 miss      f   3 miss
00000bec      5  1ec      2   1 hit          0      7   2 miss      1   e miss
00000245      1   45      0   1 miss hit     6     31   0 miss      c   4 miss
00000115      0  115      0   0 miss hit     3     1c   1 miss      7   1 miss
000007ea      3  1ea      1   1 miss hit     1      f   2 miss      3   e miss
00000027      0   27      0   0 hit          3     18   2 miss      6   2 miss
0000019b      0  19b      0   0 hit          3     1e   1 miss      7   9 miss
0000038a      1  18a      0   1 miss hit     6     36   0 miss      d   8 miss
00000466      2   66      1   0 miss hit     7     39   2 miss      e   6 miss
00000aa4      5   a4      2   1 miss hit     0      2   2 miss      0   a miss
00000af8      5   f8      2   1 hit          0      3   3 miss      0   f miss
00000f16      7  116      3   1 miss hit     2     14   1 miss      5   1 miss
0000029d      1   9d      0   1 miss hit     6     32   1 miss      c   9 hit 
00000546      2  146      1   0 hit          7     3d   0 miss      f   4 hit 
00000484      2   84      1   0 hit          7     3a   0 miss      e   8 hit 
00000ef4      7   f4      3   1 miss hit     2     13   3 miss      4   f miss
00000ea7      7   a7      3   1 hit          2     12   2 miss      4   a miss
00000547      2  147      1   0 hit          7     3d   0 miss      f   4 hit 
0000047b      2   7b      1   0 hit          7     39   3 miss      e   7 miss
0000002e      0   2e      0   0 miss hit     3     18   2 miss      6   2 hit 
0000089e      4   9e      2   0 miss hit     4     22   1 miss      8   9 miss
00000250      1   50      0   1 miss hit     6     31   1 miss      c   5 miss
00000c11      6   11      3   0 miss hit     5     28   1 miss      a   1 hit 
000001eb      0  1eb      0   0 miss hit     3     1f   2 miss      7   e miss
00000d0d      6  10d      3   0 miss hit     5     2c   0 miss      b   0 hit 
00000813      4   13      2   0 miss hit     4     20   1 miss      8   1 miss
00000174      0  174      0   0 miss hit     3     1d   3 miss      7   7 miss
00000abd      5   bd      2   1 miss hit     0      2   3 miss      0   b hit 
00000100      0  100      0   0 hit          3     1c   0 miss      7   0 miss
00000244      1   44      0   1 miss hit     6     31   0 miss      c   4 hit 
0000073e      3  13e      1   1 miss hit     1      c   3 miss      3   3 hit 
00000824      4   24      2   0 miss hit     4     20   2 miss      8   2 miss
00000b89      5  189      2   1 miss hit     0      6   0 miss      1   8 miss
000001a5      0  1a5      0   0 miss hit     3     1e   2 miss      7   a miss
000007f3      3  1f3      1   1 miss hit     1      f   3 miss      3   f miss
0000050e      2  10e      1   0 miss hit     7     3c   0 miss      f   0 miss
00000d4b      6  14b      3   0 miss hit     5     2d   0 miss      b   4 miss
00000362      1  162      0   1 miss hit     6     35   2 miss      d   6 miss
00000d89      6  189      3   0 hit          5     2e   0 miss      b   8 miss
00000834      4   34      2   0 miss hit     4     20   3 miss      8   3 miss
00000850      4   50      2   0 hit          4     21   1 miss      8   5 hit 
0000022d      1   2d      0   1 hit          6     30   2 miss      c   2 hit 
00000532      2  132      1   0 miss hit     7     3c   3 miss      f   3 hit 
00000275      1   75      0   1 hit          6     31   3 miss      c   7 miss
0000044d      2   4d      1   0 hit          7     39   0 miss      e   4 miss
000009c4      4  1c4      2   0 miss hit     4     27   0 miss      9   c miss
00000b4e      5  14e      2   1 miss hit     0      5   0 miss      1   4 miss
000003ae      1  1ae      0   1 miss hit     6     36   2 miss      d   a miss
00000e6a      7   6a      3   1 miss hit     2     11   2 miss      4   6 hit 
00000cbe      6   be      3   0 miss hit     5     2a   3 miss      a   b miss
000006a9      3   a9      1   1 miss hit     1      a   2 miss      2   a miss
00000414      2   14      1   0 miss hit     7     38   1 miss      e   1 miss
00000944      4  144      2   0 miss hit     4     25   0 miss      9   4 miss
00000d9f      6  19f      3   0 miss hit     5     2e   1 miss      b   9 miss
0000058e      2  18e      1   0 miss hit     7     3e   0 miss      f   8 miss
00000e48      7   48      3   1 miss hit     2     11   0 miss      4   4 miss
00000ac6      5   c6      2   1 miss hit     0      3   0 miss      0   c miss
0000069d      3   9d      1   1 miss hit     1      a   1 miss      2   9 miss
00000acc      5   cc      2   1 miss hit     0      3   0 hit                 
00000943      4  143      2   0 miss hit     4     25   0 miss      9   4 hit 
00000e1e      7   1e      3   1 miss hit     2     10   1 miss      4   1 miss
0000030f      1  10f      0   1 miss hit     6     34   0 miss      d   0 miss
00000d1e      6  11e      3   0 miss hit     5     2c   1 miss      b   1 miss
00000409      2    9      1   0 miss hit     7     38   0 miss      e   0 miss
00000c03      6    3      3   0 miss hit     5     28   0 miss      a   0 miss
00000b75      5  175      2   1 miss hit     0      5   3 miss      1   7 miss
00000f5f      7  15f      3   1 miss hit     2     15   1 miss      5   5 miss
0000012e      0  12e      0   0 miss hit     3     1c   2 miss      7   2 miss
000003a5      1  1a5      0   1 miss hit     6     36   2 miss      d   a hit 
00000830      4   30      2   0 miss hit     4     20   3 miss      8   3 hit 
0000052a      2  12a      1   0 miss hit     7     3c   2 miss      f   2 miss
0000028d      1   8d      0   1 hit          6     32   0 miss      c   8 miss
00000937      4  137      2   0 miss hit     4     24   3 miss      9   3 miss
00000406      2    6      1   0 miss hit     7     38   0 miss      e   0 hit 
00000c36      6   36      3   0 miss hit     5     28   3 miss      a   3 miss
000007d9      3  1d9      1   1 miss hit     1      f   1 miss      3   d miss
0000002d      0   2d      0   0 miss hit     3     18   2 miss      6   2 miss
000001e2      0  1e2      0   0 hit          3     1f   2 miss      7   e hit 
00000d70      6  170      3   0 miss hit     5     2d   3 miss      b   7 miss
000002fb      1   fb      0   1 miss hit     6     33   3 miss      c   f miss
00000746      3  146      1   1 miss hit     1      d   0 miss      3   4 miss
00000414      2   14      1   0 miss hit     7     38   1 miss      e   1 hit 
000000eb      0   eb      0   0 miss hit     3     1b   2 miss      6   e miss
00000ce3      6   e3      3   0 miss hit     5     2b   2 miss      a   e miss
0000011e      0  11e      0   0 miss hit     3     1c   1 miss      7   1 miss
00000265      1   65      0   1 miss hit     6     31   2 miss      c   6 miss
00000688      3   88      1   1 miss hit     1      a   0 miss      2   8 miss
00000edd      7   dd      3   1 miss hit     2     13   1 miss      4   d miss
00000def      6  1ef      3   0 miss hit     5     2f   2 miss      b   e miss
00000c1b      6   1b      3   0 hit          5     28   1 miss      a   1 miss
00000aa8      5   a8      2   1 miss hit     0      2   2 miss      0   a miss
00000b40      5  140      2   1 hit          0      5   0 miss      1   4 hit 
00000039      0   39      0   0 miss hit     3     18   3 miss      6   3 miss
000006e5      3   e5      1   1 miss hit     1      b   2 miss      2   e miss
000003a9      1  1a9      0   1 miss hit     6     36   2 miss      d   a hit 
00000911      4  111      2   0 miss hit     4     24   1 miss      9   1 miss
000001ad      0  1ad      0   0 miss hit     3     1e   2 miss      7   a hit 
0000026a      1   6a      0   1 hit          6     31   2 miss      c   6 hit 
00000579      2  179      1   0 miss hit     7     3d   3 miss      f   7 miss
00000655      3   55      1   1 miss hit     1      9   1 miss      2   5 miss
00000ff5      7  1f5      3   1 miss hit     2     17   3 miss      5   f miss
00000dd6      6  1d6      3   0 miss hit     5     2f   1 miss      b   d miss
00000dcc      6  1cc      3   0 hit          5     2f   0 miss      b   c hit 
