Data TLB contains 2 sets.
Each set contains 1 entries.
Number of bits used for the index is 1.

Number of virtual pages is 8.
Number of physical pages is 8.
Each page contains 512 bytes.
Number of bits used for the page table index is 3.
Number of bits used for the page offset is 9.

D-cache contains 4 sets.
Each set contains 1 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 2.
Number of bits used for the offset is 4.

L2-cache contains 16 sets.
Each set contains 4 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 4.
Number of bits used for the offset is 4.

The addresses read in are virtual addresses.

Virtual  Virt.  Page TLB    TLB TLB  PT   Phys        DC  DC          L2  L2  
Address  Page # Off  Tag    Ind Res. Res. Pg # DC Tag Ind Res. L2 Tag Ind Res.
-------- ------ ---- ------ --- ---- ---- ---- ------ --- ---- ------ --- ----
000009df      4  1df      2   0 miss hit     4     27   1 miss      9   d miss
00000f77      7  177      3   1 miss hit     2     15   3 miss      5   7 miss
00000680      3   80      1   1 miss hit     1      a   0 miss      2   8 miss
00000098      0   98      0   0 miss hit     3     1a   1 miss      6   9 miss
00000f18      7  118      3   1 miss hit     2     14   1 miss      5   1 hit 
000008d6      4   d6      2   0 miss hit     4     23   1 miss      8   d hit 
00000726      3  126      1   1 miss hit     1      c   2 miss      3   2 miss
000006a1      3   a1      1   1 hit          1      a   2 miss      2   a hit 
00000953      4  153      2   0 hit          4     25   1 miss      9   5 miss
000007d3      3  1d3      1   1 hit          1      f   1 miss      3   d miss
0000095c      4  15c      2   0 hit          4     25   1 miss      9   5 hit 
00000dc6      6  1c6      3   0 miss hit     5     2f   0 miss      b   c miss
00000813      4   13      2   0 miss hit     4     20   1 miss      8   1 miss
000003e6      1  1e6      0   1 miss hit     6     37   2 miss      d   e hit 
000002d9      1   d9      0   1 hit          6     33   1 miss      c   d miss
00000798      3  198      1   1 miss hit     1      e   1 miss      3   9 miss
00000b0c      5  10c      2   1 miss hit     0      4   0 miss      1   0 miss
00000b33      5  133      2   1 hit          0      4   3 miss      1   3 miss
00000e83      7   83      3   1 miss hit     2     12   0 miss      4   8 hit 
000003f5      1  1f5      0   1 miss hit     6     37   3 miss      d   f miss
00000139      0  139      0   0 miss hit     3     1c   3 miss      7   3 miss
0000052c      2  12c      1   0 miss hit     7     3c   2 miss      f   2 miss
000006cb      3   cb      1   1 miss hit     1      b   0 miss      2   c miss
000001f5      0  1f5      0   0 miss hit     3     1f   3 miss      7   f miss
00000992      4  192      2   0 miss hit     4     26   1 miss      9   9 hit 
00000e0b      7    b      3   1 miss hit     2     10   0 miss      4   0 hit 
000007ca      3  1ca      1   1 miss hit     1      f   0 miss      3   c miss
0000028f      1   8f      0   1 miss hit     6     32   0 miss      c   8 miss
00000453      2   53      1   0 miss hit     7     39   1 miss      e   5 miss
00000e65      7   65      3   1 miss hit     2     11   2 miss      4   6 hit 
00000381      1  181      0   1 miss hit     6     36   0 miss      d   8 miss
